cell_id,ev_Antes,ev_Despues,pa_Antes,pa_Despues,tasa_antes,tasa_despues,delta_tasa,esperado,exceso
12_6,0,0,149,67,0.0,0.0,0.0,0.0,0.0
12_60,13,12,221,206,0.058823529411764705,0.05825242718446602,-0.0005711022272986838,12.117647058823529,-0.117647058823529
12_61,11,5,367,270,0.02997275204359673,0.018518518518518517,-0.011454233525078211,8.092643051771116,-3.092643051771116
12_62,5,4,292,235,0.017123287671232876,0.01702127659574468,-0.00010201107548819463,4.023972602739726,-0.023972602739726234
12_63,5,3,222,207,0.02252252252252252,0.014492753623188406,-0.008029768899334115,4.662162162162162,-1.6621621621621623
12_64,7,5,221,207,0.03167420814479638,0.024154589371980676,-0.0075196187728157025,6.5565610859728505,-1.5565610859728505
12_65,5,7,296,276,0.016891891891891893,0.025362318840579712,0.008470426948687819,4.662162162162162,2.3378378378378377
12_66,11,7,296,276,0.037162162162162164,0.025362318840579712,-0.011799843321582452,10.256756756756758,-3.256756756756758
12_67,22,24,298,315,0.0738255033557047,0.0761904761904762,0.002364972834771495,23.255033557046982,0.7449664429530181
12_68,23,19,370,308,0.062162162162162166,0.06168831168831169,-0.00047385047385047757,19.145945945945947,-0.14594594594594668
12_69,29,23,296,276,0.09797297297297297,0.08333333333333333,-0.014639639639639643,27.04054054054054,-4.04054054054054
12_7,0,0,149,67,0.0,0.0,0.0,0.0,0.0
12_70,22,24,296,281,0.07432432432432433,0.08540925266903915,0.01108492834471482,20.885135135135137,3.114864864864863
12_71,18,15,296,276,0.060810810810810814,0.05434782608695652,-0.006462984723854294,16.783783783783786,-1.783783783783786
12_72,11,6,369,305,0.02981029810298103,0.019672131147540985,-0.010138166955440044,9.092140921409214,-3.0921409214092144
12_73,0,0,296,279,0.0,0.0,0.0,0.0,0.0
12_74,0,0,297,275,0.0,0.0,0.0,0.0,0.0
12_75,0,0,296,275,0.0,0.0,0.0,0.0,0.0
12_76,0,0,223,208,0.0,0.0,0.0,0.0,0.0
12_77,0,0,223,208,0.0,0.0,0.0,0.0,0.0
12_8,0,0,149,67,0.0,0.0,0.0,0.0,0.0
12_9,0,0,224,98,0.0,0.0,0.0,0.0,0.0
13_0,0,0,77,40,0.0,0.0,0.0,0.0,0.0
13_1,0,0,77,40,0.0,0.0,0.0,0.0,0.0
13_10,0,0,149,67,0.0,0.0,0.0,0.0,0.0
13_11,0,0,149,67,0.0,0.0,0.0,0.0,0.0
13_12,0,0,149,67,0.0,0.0,0.0,0.0,0.0
13_13,0,0,149,67,0.0,0.0,0.0,0.0,0.0
13_14,0,0,149,67,0.0,0.0,0.0,0.0,0.0
13_15,0,0,150,72,0.0,0.0,0.0,0.0,0.0
13_16,0,0,223,99,0.0,0.0,0.0,0.0,0.0
13_17,0,0,149,102,0.0,0.0,0.0,0.0,0.0
13_18,0,0,149,102,0.0,0.0,0.0,0.0,0.0
13_19,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_2,0,0,77,40,0.0,0.0,0.0,0.0,0.0
13_20,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_21,0,0,149,141,0.0,0.0,0.0,0.0,0.0
13_22,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_23,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_24,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_25,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_26,0,0,224,168,0.0,0.0,0.0,0.0,0.0
13_27,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_28,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_29,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_3,0,0,77,40,0.0,0.0,0.0,0.0,0.0
13_30,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_31,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_32,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_33,0,0,223,169,0.0,0.0,0.0,0.0,0.0
13_34,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_35,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_36,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_37,0,0,149,137,0.0,0.0,0.0,0.0,0.0
13_38,0,0,149,141,0.0,0.0,0.0,0.0,0.0
13_39,0,0,149,171,0.0,0.0,0.0,0.0,0.0
13_4,0,0,149,71,0.0,0.0,0.0,0.0,0.0
13_40,0,0,149,136,0.0,0.0,0.0,0.0,0.0
13_41,0,0,149,136,0.0,0.0,0.0,0.0,0.0
13_42,0,0,149,171,0.0,0.0,0.0,0.0,0.0
