cell_id,mes,u10,v10,wind_speed
39_22,2023-07,0.5841283,-2.4013655,3.7972784
39_22,2023-08,-1.1507539,-0.83320963,3.5377426
39_22,2023-09,-0.20231095,-2.0035007,3.7366529
39_22,2023-10,0.15829566,-2.1979625,3.5939472
39_22,2023-11,0.75828856,-2.5865514,4.2040186
39_22,2023-12,1.3557763,-2.2794359,4.0700655
39_22,2024-01,1.2313571,-1.7850791,4.9300113
39_22,2024-02,1.1097004,-3.46503,5.7836947
39_22,2024-03,-0.16422468,-2.2410586,4.984891
39_22,2024-04,-0.68276966,-1.3363135,4.036557
39_22,2024-05,0.037715297,-2.076543,5.5421224
39_22,2024-06,0.015852626,-1.3859836,3.6132822
39_22,2024-07,2.121458,-2.9933665,4.7404594
39_22,2024-08,-1.1072215,-1.4037904,4.007472
39_22,2024-09,-0.2879753,-1.8821776,3.303837
39_22,2024-10,-0.08402855,-2.7352235,4.4690166
39_22,2024-11,1.3755785,-2.8703654,4.576798
39_22,2024-12,2.4042552,-2.5286782,4.489593
39_22,2025-01,2.5608423,-3.3106549,4.9213724
39_22,2025-02,0.8791057,-3.569511,5.651074
39_22,2025-03,-0.06941051,-3.0020976,5.478665
39_22,2025-04,0.14177272,-2.155975,4.7988744
39_22,2025-05,1.6772511,-3.0281668,4.821576
39_22,2025-06,2.4551656,-3.6058543,5.7442794
39_22,2025-07,1.493381,-2.9636166,4.7732387
39_22,2025-08,-1.6169853,-0.7654617,3.6378038
39_22,2025-09,0.37548548,-2.9907696,4.3284216
39_22,2025-10,0.6290747,-2.3216999,3.5769336
39_22,2025-11,0.9247148,-2.6551118,3.9068518
39_22,2025-12,0.3526712,-1.1913605,3.9491122
39_22,2026-01,1.8382727,-2.035135,4.890667
39_22,2026-02,-0.45572037,-0.9807378,4.2238216
39_22,2026-03,-1.0136439,-2.3445535,5.2828097
39_22,2026-04,0.36909065,-3.7687895,5.4344115
39_22,2026-05,1.878325,-3.977798,5.3727694
39_22,2026-06,2.2309532,-4.030881,5.3370175
39_22,2026-07,1.2147139,-2.1055303,4.102966
39_22,2026-08,-1.5492709,-0.4856939,3.219098
39_23,2023-01,0.7679277,-2.224239,4.830554
39_23,2023-02,0.38295978,-1.9518492,5.818703
39_23,2023-03,-0.1702711,-1.7101251,4.257789
39_23,2023-04,0.7388153,-1.8815327,4.5584025
39_23,2023-05,0.5407348,-2.695259,4.4921117
39_23,2023-06,2.2584102,-3.8911006,5.2729583
39_23,2023-07,0.5841283,-2.4013655,3.7972784
39_23,2023-08,-1.1507539,-0.83320963,3.5377426
39_23,2023-09,-0.20231095,-2.0035007,3.7366529
39_23,2023-10,0.15829566,-2.1979625,3.5939472
39_23,2023-11,0.75828856,-2.5865514,4.2040186
39_23,2023-12,1.3557763,-2.2794359,4.0700655
39_23,2024-01,1.2313571,-1.7850791,4.9300113
39_23,2024-02,1.1097004,-3.46503,5.7836947
39_23,2024-03,-0.16422468,-2.2410586,4.984891
39_23,2024-04,-0.68276966,-1.3363135,4.036557
39_23,2024-05,0.037715297,-2.076543,5.5421224
39_23,2024-06,0.015852626,-1.3859836,3.6132822
39_23,2024-07,2.121458,-2.9933665,4.7404594
39_23,2024-08,-1.1072215,-1.4037904,4.007472
39_23,2024-09,-0.2879753,-1.8821776,3.303837
39_23,2024-10,-0.08402855,-2.7352235,4.4690166
39_23,2024-11,1.3755785,-2.8703654,4.576798
39_23,2024-12,2.4042552,-2.5286782,4.489593
39_23,2025-01,2.5608423,-3.3106549,4.9213724
39_23,2025-02,0.8791057,-3.569511,5.651074
39_23,2025-03,-0.06941051,-3.0020976,5.478665
39_23,2025-04,0.14177272,-2.155975,4.7988744
39_23,2025-05,1.6772511,-3.0281668,4.821576
39_23,2025-06,2.4551656,-3.6058543,5.7442794
39_23,2025-07,1.493381,-2.9636166,4.7732387
39_23,2025-08,-1.6169853,-0.7654617,3.6378038
39_23,2025-09,0.37548548,-2.9907696,4.3284216
39_23,2025-10,0.6290747,-2.3216999,3.5769336
39_23,2025-11,0.9247148,-2.6551118,3.9068518
39_23,2025-12,0.3526712,-1.1913605,3.9491122
39_23,2026-01,1.8382727,-2.035135,4.890667
39_23,2026-02,-0.45572037,-0.9807378,4.2238216
39_23,2026-03,-1.0136439,-2.3445535,5.2828097
39_23,2026-04,0.36909065,-3.7687895,5.4344115
39_23,2026-05,1.878325,-3.977798,5.3727694
39_23,2026-06,2.2309532,-4.030881,5.3370175
39_23,2026-07,1.2147139,-2.1055303,4.102966
39_23,2026-08,-1.5492709,-0.4856939,3.219098
39_24,2023-01,0.6475979,-2.1726546,4.974799
39_24,2023-02,0.43182278,-1.9793587,6.0272512
39_24,2023-03,0.04180047,-1.6984378,4.3345985
39_24,2023-04,1.1148325,-1.9462055,4.6309323
39_24,2023-05,1.0077995,-2.6588428,4.565511
39_24,2023-06,2.6553583,-3.8660028,5.350032
39_24,2023-07,0.8675756,-2.222686,3.6880207
39_24,2023-08,-0.8957293,-0.65451443,3.4070466
39_24,2023-09,0.07395859,-1.854404,3.6866505
39_24,2023-10,0.4397268,-2.2353318,3.5707636
39_24,2023-11,0.789091,-2.6800003,4.3272247
39_24,2023-12,1.4697821,-2.3504336,4.24124
39_24,2024-01,1.3347074,-1.9450227,5.2299385
39_24,2024-02,1.3113438,-3.5906193,6.0393505
39_24,2024-03,0.10555858,-2.136527,5.0496006
39_24,2024-04,-0.38279405,-1.1168149,3.8287556
39_24,2024-05,0.18080533,-1.9595208,5.55376
39_24,2024-06,0.3746091,-1.2291313,3.564144
39_24,2024-07,2.4382265,-2.9655344,4.7869453
39_24,2024-08,-0.88946384,-1.1416621,3.9322026
39_24,2024-09,0.0016405742,-1.7593504,3.1974308
39_24,2024-10,0.19211812,-2.8321946,4.5777135
39_24,2024-11,1.5757495,-3.0133505,4.791774
39_24,2024-12,2.4967291,-2.599227,4.605202
39_24,2025-01,2.7977767,-3.4784582,5.1807213
