cell_id,dist_costa_km,dist_ruta_maritima_km
77_66,269.50678233933274,333.7759671995172
77_67,279.07757377879767,343.31761079198714
77_68,288.67645869283695,352.8838126852045
77_69,298.3007384247332,362.47263953996867
77_70,307.9480449610792,372.08235296405974
77_71,317.61629265387165,381.71138602137245
77_72,327.30363801644484,391.35306104359074
77_73,337.00844608883756,400.9922670892367
77_74,346.6314204818433,410.6271857870557
77_75,356.27153752418366,420.2621277952293
77_76,365.92232490261415,429.8975972479926
77_77,375.57723621598797,439.54435490752047
78_0,132.00429659977422,265.58136515192353
78_1,125.66086214611921,259.19343957593304
78_2,118.70180348056559,253.03797133798682
78_3,112.1994458023034,247.1323440095441
78_4,106.2377115391827,241.49490093177914
78_5,100.91249640517356,231.88715862550748
78_6,96.3294556910846,221.93007678269058
78_7,92.59888957216964,211.97481878671468
78_8,89.15393653945762,202.02167070324865
78_9,80.75511735527053,192.07097789707817
78_10,72.19301832004169,182.1231611916475
78_11,64.0319342767938,172.17873860750706
78_12,56.214822449370565,162.23835505905095
78_13,48.93896587892582,152.30282362097438
78_14,42.41113200000687,142.37318397332933
78_15,35.51620599233217,132.45078696230465
78_16,26.200428430964312,122.53741993318789
78_17,17.62588117214509,112.6354976668353
78_18,11.577372448984208,102.74836258105174
78_19,10.530986195599342,92.88077431647703
78_20,4.1603374034932985,83.03974320309139
78_21,2.681197768311853,73.2360233850793
78_22,7.398460579482449,63.48695723797416
78_23,11.601509333115201,53.82231713026384
78_24,18.266122724555217,44.294950470624826
78_25,26.78564316757987,34.835710640906605
78_26,36.01502166382544,25.376480840863582
78_27,40.22152535942324,15.917260710849986
78_28,43.80684786290645,6.458049891989303
78_29,44.80767588197103,0.3610203624529073
78_30,35.293310006161846,7.222030403520642
78_31,25.959051465865468,0.4341894637430849
78_32,16.500570460547106,6.484037152329914
78_33,7.438842367774719,16.27447632921658
78_34,2.1966712699402398,26.064960139588234
78_35,1.552294051936009,35.863180520932595
