cell_id,Latitud,Longitud,grupo,exceso,tasa_antes,tasa_despues,ais_previo,DistanciaCostaKm,ProfundidadM
68_32,26.42793,54.42607,Top 10 % del incremento,5.2304147465437785,0.0230414746543778,0.0483091787439613,382.93333333333334,14.222815393881245,34.0
76_22,25.52703,55.23495,Top 10 % del incremento,5.230263157894736,0.1118421052631579,0.1489361702127659,14298.233333333334,22.8153784087324,22.0
50_41,27.23874,52.60608,Top 10 % del incremento,5.225352112676056,0.0375586854460093,0.0628019323671497,10.733333333333333,11.408306612086976,70.0
88_32,26.42793,56.44828,Top 10 % del incremento,5.219409282700422,0.0084388185654008,0.0331753554502369,157.36666666666667,7.571792413038048,73.0
87_32,26.42793,56.34717,Top 10 % del incremento,5.219409282700422,0.0084388185654008,0.0331753554502369,316.8,4.933438838043284,90.0
40_23,25.61712,51.59497,Top 10 % del incremento,5.205357142857143,0.0044642857142857,0.0337078651685393,136.66666666666666,4.84199458013587,3.0
21_66,29.49099,49.67388,Top 10 % del incremento,5.199095022624435,0.0226244343891402,0.0535714285714285,89.86666666666666,59.59138952925176,25.0
51_36,26.78829,52.70719,Top 10 % del incremento,5.197183098591549,0.028169014084507,0.0533980582524271,539.0,44.52987761681516,72.0
25_57,28.68018,50.07832,Top 10 % del incremento,5.190045248868778,0.0090497737556561,0.035,172.2,63.2150109583121,38.0
45_22,25.52703,52.10053,Top 10 % del incremento,5.1735537190082646,0.0082644628099173,0.023391812865497,92.2,55.36689455083607,22.0
48_25,25.7973,52.40386,Top 10 % del incremento,5.169014084507042,0.028169014084507,0.0531400966183574,279.8333333333333,81.42386508498424,43.0
29_61,29.04054,50.48276,Top 10 % del incremento,5.162162162162162,0.0135135135135135,0.0514705882352941,163.96666666666667,19.475669100127195,36.0
50_26,25.88739,52.60608,Top 10 % del incremento,5.160278745644599,0.0034843205574912,0.0248962655601659,52.86666666666667,102.46801496908871,48.0
73_20,25.34685,54.93162,Top 10 % del incremento,5.144736842105264,0.0131578947368421,0.0496453900709219,885.4666666666667,34.95390765219237,20.0
36_46,27.68919,51.19053,Top 10 % del incremento,5.142222222222222,0.0088888888888888,0.0334928229665071,381.53333333333336,33.997807575975045,55.0
47_44,27.50901,52.30275,Top 10 % del incremento,5.140939597315437,0.0201342281879194,0.056338028169014,112.93333333333334,17.480864327903284,62.0
11_67,29.58108,48.66277,Top 10 % del incremento,5.135135135135135,0.009009009009009,0.0338164251207729,6796.366666666667,31.9453788187873,11.0
63_14,24.80631,53.92051,Top 10 % del incremento,5.1340206185567006,0.0103092783505154,0.0287769784172661,1349.2,54.08396569831754,18.0
36_51,28.13964,51.19053,Top 10 % del incremento,5.133928571428571,0.0089285714285714,0.0334928229665071,60.36666666666667,7.650560578894351,18.0
52_26,25.88739,52.8083,Top 10 % del incremento,5.126760563380282,0.0234741784037558,0.0545454545454545,87.16666666666667,109.374565482383,54.0
46_17,25.07658,52.20164,Top 10 % del incremento,5.103806228373703,0.0069204152249134,0.0255474452554744,34.03333333333333,59.55722928420993,15.0
65_33,26.51802,54.12274,Top 10 % del incremento,5.093023255813954,0.0093023255813953,0.0341463414634146,101.76666666666667,7.137628310434879,35.0
56_23,25.61712,53.21274,Top 10 % del incremento,5.086330935251798,0.0287769784172661,0.0661764705882353,258.03333333333336,81.6688265787687,23.0
24_71,29.94144,49.97721,Top 10 % del incremento,5.081081081081081,0.0067567567567567,0.0441176470588235,17.666666666666668,15.71410808969281,15.0
23_62,29.13063,49.8761,Top 10 % del incremento,5.081081081081081,0.0067567567567567,0.0441176470588235,104.96666666666667,42.682648039765645,42.0
12_53,28.31982,48.76388,Top 10 % del incremento,5.076923076923077,0.004524886877828,0.0294117647058823,2933.0,18.38740431219484,18.0
48_31,26.33784,52.40386,Top 10 % del incremento,5.074766355140187,0.0093457943925233,0.0339805825242718,90.83333333333333,93.48896374540942,62.0
75_32,26.42793,55.13384,Top 10 % del incremento,5.072368421052632,0.006578947368421,0.0425531914893617,25.466666666666665,20.554572295777973,10.0
69_13,24.71622,54.52718,Top 10 % del incremento,5.072368421052632,0.006578947368421,0.0425531914893617,10726.466666666667,11.609428344307045,8.0
44_28,26.06757,51.99942,Top 10 % del incremento,5.071111111111112,0.0044444444444444,0.0287081339712918,839.3666666666667,47.01579161062863,28.0
87_33,26.51802,56.34717,Top 10 % del incremento,5.066371681415929,0.0044247787610619,0.0284360189573459,1067.5,14.718421251369437,88.0
69_30,26.24775,54.52718,Top 10 % del incremento,5.041666666666667,0.0046296296296296,0.0289855072463768,476.3333333333333,0.4711571305608897,15.0
61_14,24.80631,53.71829,Top 10 % del incremento,5.028776978417266,0.014388489208633,0.0510948905109489,9088.533333333333,53.27487048390444,5.0
39_30,26.24775,51.49386,Top 10 % del incremento,5.0,0.0,0.0204081632653061,165.7,21.57824065110757,19.0
40_37,26.87838,51.59497,Top 10 % del incremento,5.0,0.0,0.0238095238095238,62.9,86.94061835103706,64.0
86_31,26.33784,56.24606,Top 10 % del incremento,5.0,0.0,0.0236966824644549,660.3666666666667,8.223582940311028,73.0
53_30,26.24775,52.90941,Top 10 % del incremento,5.0,0.0,0.037037037037037,208.36666666666667,68.64602558866873,71.0
77_33,26.51802,55.33606,Top 10 % del incremento,5.0,0.0,0.0354609929078014,29.9,3.722817516585129,7.0
54_21,25.43694,53.01052,Top 10 % del incremento,5.0,0.0,0.0290697674418604,20.6,60.50298793716065,22.0
8_64,29.31081,48.35944,Top 10 % del incremento,5.0,0.0,0.0357142857142857,778.2333333333333,9.318068262769568,4.0
20_52,28.22973,49.57276,Top 10 % del incremento,4.946428571428571,0.0089285714285714,0.0304347826086956,451.6,81.14270015347456,42.0
40_42,27.32883,51.59497,Top 10 % del incremento,4.849056603773585,0.0188679245283018,0.0366300366300366,240.73333333333332,56.45498163914661,45.0
17_52,28.22973,49.26943,Top 10 % del incremento,4.807174887892376,0.0403587443946188,0.064039408866995,1525.7,53.387509922411695,31.0
83_27,25.97748,55.94272,Top 10 % del incremento,4.762114537444933,0.013215859030837,0.0326530612244898,3784.6,9.58352293960919,32.0
22_46,27.68919,49.77499,Top 10 % del incremento,4.589285714285714,0.0267857142857142,0.0495049504950495,5640.833333333333,42.16598424443534,19.0
20_61,29.04054,49.57276,Top 10 % del incremento,4.567567567567568,0.0472972972972973,0.0808823529411764,58.2,74.0188919143012,37.0
46_37,26.87838,52.20164,Top 10 % del incremento,4.559241706161138,0.0142180094786729,0.0330578512396694,267.96666666666664,65.98788717063583,57.0
88_38,26.96847,56.44828,Top 10 % del incremento,4.530973451327434,0.0353982300884955,0.0568720379146919,2181.133333333333,8.544629787688873,28.0
42_25,25.7973,51.7972,Top 10 % del incremento,4.528301886792453,0.0053908355795148,0.0219780219780219,2973.0,20.56437003620833,20.0
28_63,29.22072,50.38165,Top 10 % del incremento,4.486486486486486,0.0405405405405405,0.0735294117647058,824.8666666666667,4.7650639836899735,29.0
14_66,29.49099,48.9661,Top 10 % del incremento,4.472972972972973,0.0236486486486486,0.0398550724637681,338.56666666666666,56.36918973316259,13.0
8_60,28.95045,48.35944,Top 10 % del incremento,4.459459459459459,0.027027027027027,0.048780487804878,2246.0,10.052039921809458,12.0
26_59,28.86036,50.17943,Top 10 % del incremento,4.436241610738255,0.0335570469798657,0.0661764705882353,90.66666666666667,40.93674065343448,47.0
72_31,26.33784,54.83051,Top 10 % del incremento,4.434210526315789,0.0394736842105263,0.0709219858156028,543.3,17.946379311188423,71.0
63_17,25.07658,53.92051,Top 10 % del incremento,4.402061855670103,0.0309278350515463,0.0467625899280575,117.6,32.86662886052506,25.0
39_34,26.60811,51.49386,Top 10 % del incremento,4.401785714285714,0.0267857142857142,0.0478468899521531,417.8333333333333,55.42014217461646,24.0
