CeldaID,Longitud,Latitud,DistanciaCostaKm,DistanciaRutaKm,ProfundidadM,FranjaProfundidad,EsMar,AguasSomeras
3_0,47.85389,23.54505,324.1832656402615,423.6861918709022,,,False,False
3_1,47.85389,23.63514,318.98896042865897,415.3541414859161,,,False,False
3_2,47.85389,23.72523,314.0304736703592,407.09992279551017,,,False,False
3_3,47.85389,23.81532,309.3191447139791,398.9283659496308,,,False,False
3_4,47.85389,23.90541,304.8664306697719,390.8446545569189,,,False,False
3_5,47.85389,23.9955,300.6838192546068,382.8543518387803,,,False,False
3_6,47.85389,24.08559,295.07063371383856,374.9634280749826,,,False,False
3_7,47.85389,24.17568,288.96937732162365,367.1782891878715,,,False,False
3_8,47.85389,24.26577,283.0938636850079,359.50580623529805,,,False,False
3_9,47.85389,24.35586,277.45843223564293,351.22097685699146,,,False,False
3_10,47.85389,24.44595,272.0779994055804,342.61875529570983,,,False,False
3_11,47.85389,24.53604,266.96798105633167,334.0980486469284,,,False,False
3_12,47.85389,24.62613,262.1441890960821,325.66525342702766,,,False,False
3_13,47.85389,24.71622,257.6093167169695,317.32737641300923,,,False,False
3_14,47.85389,24.80631,253.34468543323348,309.09209709780805,,,False,False
3_15,47.85389,24.8964,249.2315302272744,300.9678355886201,,,False,False
3_16,47.85389,24.98649,244.33488912220216,292.96382589705195,,,False,False
3_17,47.85389,25.07658,239.76029795237497,285.0901943234116,,,False,False
3_18,47.85389,25.16667,235.5265200716113,277.3580422901904,,,False,False
3_19,47.85389,25.25676,231.65223995797217,269.7795325037057,,,False,False
3_20,47.85389,25.34685,228.15576917345243,262.3679766863939,,,False,False
3_21,47.85389,25.43694,225.05471446295425,255.13792229178011,,,False,False
3_22,47.85389,25.52703,222.3656165040983,248.1052345580316,,,False,False
3_23,47.85389,25.61712,220.10357184042292,241.287168951179,,,False,False
3_24,47.85389,25.70721,218.2818542941217,234.7024274917405,,,False,False
3_25,47.85389,25.7973,214.9141866574806,228.37119067989292,,,False,False
3_26,47.85389,25.88739,207.921183347493,222.315114821997,,,False,False
3_27,47.85389,25.97748,201.1887034099032,216.5572826852741,,,False,False
3_28,47.85389,26.06757,194.71013744079377,211.12209384730156,,,False,False
3_29,47.85389,26.15766,188.24572361547845,206.03508027290437,,,False,False
3_30,47.85389,26.24775,181.17833478802817,201.3226330842254,,,False,False
3_31,47.85389,26.33784,172.88827150806773,197.0116288246583,,,False,False
3_32,47.85389,26.42793,164.6649589231154,193.10012583688464,,,False,False
3_33,47.85389,26.51802,156.6574298015234,189.57172250427632,,,False,False
3_34,47.85389,26.60811,148.90049531520506,186.51983131700808,,,False,False
3_35,47.85389,26.6982,141.4353862930599,183.96816451883947,,,False,False
3_36,47.85389,26.78829,134.31076460124706,181.93776589404663,,,False,False
3_37,47.85389,26.87838,127.58367712390964,180.4462280172132,,,False,False
3_38,47.85389,26.96847,121.32026298102376,179.5069792738919,,,False,False
3_39,47.85389,27.05856,115.5959093909518,179.12870306405412,,,False,False
3_40,47.85389,27.14865,110.49442059865818,171.61590162602204,,,False,False
3_41,47.85389,27.23874,106.10566658463344,162.74738191221584,,,False,False
3_42,47.85389,27.32883,101.84939910628432,154.02688915809372,,,False,False
3_43,47.85389,27.41892,97.98104106259002,145.4810387144312,,,False,False
3_44,47.85389,27.50901,95.02673418377564,137.14247543995603,,,False,False
3_45,47.85389,27.5991,93.03725360394,129.05137940560255,,,False,False
3_46,47.85389,27.68919,88.77445006922827,121.2572908716026,,,False,False
3_47,47.85389,27.77928,84.19167801301202,113.82123192691776,,,False,False
3_48,47.85389,27.86937,80.01943589634793,106.81799161663572,,,False,False
3_49,47.85389,27.95946,76.94716023073876,100.3382286274324,,,False,False
3_50,47.85389,28.04955,71.64584512534528,94.48968855344202,,,False,False
3_51,47.85389,28.13964,66.86559675430935,89.39633497319105,,,False,False
3_52,47.85389,28.22973,63.33901317993874,85.19371172352615,,,False,False
3_53,47.85389,28.31982,60.882543205376855,82.01884333295448,,,False,False
3_54,47.85389,28.40991,55.5289487200892,79.99418173843999,,,False,False
